"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","230","Проверка редиректа на главную страницу Самоката при клике на логотип","tests","2026-08-18","passed","2026-08-18","TestScooterOrderAndLogos","test_order","",""
"","161","Проверка выпадающего списка в разделе 'Вопросы о важном', вопрос №6","tests","2026-08-18","passed","2026-08-18","TestImportantQuestions","test_questions","",""
"","163","Проверка выпадающего списка в разделе 'Вопросы о важном', вопрос №3","tests","2026-08-18","passed","2026-08-18","TestImportantQuestions","test_questions","",""
"","167","Проверка выпадающего списка в разделе 'Вопросы о важном', вопрос №5","tests","2026-08-18","passed","2026-08-18","TestImportantQuestions","test_questions","",""
"","195","Проверка редиректа на Дзен при клике на логотип Яндекса","tests","2026-08-18","passed","2026-08-18","TestScooterOrderAndLogos","test_order","",""
"","169","Проверка выпадающего списка в разделе 'Вопросы о важном', вопрос №2","tests","2026-08-18","passed","2026-08-18","TestImportantQuestions","test_questions","",""
"","168","Проверка выпадающего списка в разделе 'Вопросы о важном', вопрос №0","tests","2026-08-18","passed","2026-08-18","TestImportantQuestions","test_questions","",""
"","1936","Позитивный сценарий заказа самоката (точка входа: bottom)","tests","2026-08-18","passed","2026-08-18","TestScooterOrderAndLogos","test_order","",""
"","1975","Позитивный сценарий заказа самоката (точка входа: top)","tests","2026-08-18","passed","2026-08-18","TestScooterOrderAndLogos","test_order","",""
"","1944","Позитивный сценарий заказа самоката (точка входа: bottom)","tests","2026-08-18","passed","2026-08-18","TestScooterOrderAndLogos","test_order","",""
"","162","Проверка выпадающего списка в разделе 'Вопросы о важном', вопрос №1","tests","2026-08-18","passed","2026-08-18","TestImportantQuestions","test_questions","",""
"","1977","Позитивный сценарий заказа самоката (точка входа: top)","tests","2026-08-18","passed","2026-08-18","TestScooterOrderAndLogos","test_order","",""
"","163","Проверка выпадающего списка в разделе 'Вопросы о важном', вопрос №4","tests","2026-08-18","passed","2026-08-18","TestImportantQuestions","test_questions","",""
"","164","Проверка выпадающего списка в разделе 'Вопросы о важном', вопрос №7","tests","2026-08-18","passed","2026-08-18","TestImportantQuestions","test_questions","",""
